Unicode,enz_pos,rxn_pos,Organism,Modified,Parameter,oldValue,newValue,error,ControlCoeff
D6B968,2175,1717,neurospora crassa,1,SA*Mw,0.0083,105.93,-87.083,0.346295
D6B1C9,2581,2646,bacillus subtilis,1,K_cat,0.02,12.6,-82.0909,0.386787
D6AW36,3016,3638,escherichia coli,1,SA*Mw,0.05,5.06748,-79.027,0.17288
A0A2A2UFF9,2752,2994,saccharomyces cerevisiae,1,SA*Mw,0.00215,525.667,-74.8729,0.197832
D6AW35,3015,3638,aspergillus sojae,1,K_cat,0.05,6249,-73.1,0.07048
A0A2A2UQ51,2447,2380,rattus norvegicus,1,SA*Mw,0.0035,2210,-71.1525,0.072323
D6BA15,2847,3237,helicobacter pylori,0,K_cat,0.0072,0.0072,-71.1525,0.074424
A0A2A2UEF9,2559,2589,escherichia coli,1,SA*Mw,0.138598,0.1386,-71.1525,0.046329
D6B7K8,2257,1881,escherichia coli,1,SA*Mw,0.006,15.08,-70.1448,0.034908
D6B0R7,2303,2034,brucella abortus,1,SA*Mw,52.7003,8207.5,-69.1043,0.035147
A0A2A2UKN3,2338,2172,nocardia asteroides,1,SA*Mw,30.1,1562,-67.9019,0.039686
D6AW34,3014,3638,escherichia coli,1,SA*Mw,0.05,5.06748,-66.881,0.032098
A0A2A2UJU6,2869,3268,escherichia coli,1,K_cat,0.116998,8.9,-65.838,0.031892
D6AZ46,1893,1165,escherichia coli,1,SA*Mw,0.047,10.625,-64.7958,0.030617
D6AZ46,1893,1166,escherichia coli,1,SA*Mw,0.047,10.625,-63.688,0.03158
D6AZ46,1893,1169,escherichia coli,1,SA*Mw,0.047,10.625,-62.5082,0.032606
D6AZ46,1893,1170,escherichia coli,1,SA*Mw,0.047,10.625,-61.2491,0.033702
D6AZ46,1893,1167,escherichia coli,1,SA*Mw,0.047,10.625,-59.9026,0.034873
A0A2A2UDC4,2692,2855,sparus aurata,1,SA*Mw,61.9998,22916.2,-58.625,0.031951
A0A2A2UD65,2755,2998,salmonella enterica subsp. enterica serovar typhimurium,1,SA*Mw,0.659993,1170,-57.2995,0.032021
D6AZ46,1893,1161,escherichia coli,1,SA*Mw,0.047,10.625,-56.0974,0.028251
D6AZ46,1893,1163,escherichia coli,1,SA*Mw,0.047,10.625,-54.8257,0.029069
D6AZ46,1893,1147,escherichia coli,1,SA*Mw,0.047,10.625,-53.4798,0.0299
D6AZ46,1893,1171,escherichia coli,1,SA*Mw,0.047,10.625,-52.0993,0.029781
D6AZ46,1893,1173,escherichia coli,1,SA*Mw,0.047,10.625,-50.6343,0.030692
D6AZ46,1893,1175,escherichia coli,1,SA*Mw,0.047,10.625,-49.0769,0.03166
D6AZ46,1893,1180,escherichia coli,1,SA*Mw,0.047,10.625,-47.418,0.032692
D6AZ46,1893,1182,escherichia coli,1,SA*Mw,0.047,10.625,-45.6474,0.033793
D6AZ46,1893,1177,escherichia coli,1,SA*Mw,0.047,10.625,-44.0401,0.029676
